gene_name	gene_id
HS3ST1	ENSG00000002587
GCLC	ENSG00000001084
CYP51A1	ENSG00000001630
SLC22A16	ENSG00000004809
SNX11	ENSG00000002919
TMEM176A	ENSG00000002933
ABCB4	ENSG00000005471
LAMP2	ENSG00000005893
CDC27	ENSG00000004897
STARD3NL	ENSG00000010270
DCN	ENSG00000011465
CD22	ENSG00000012124
GAS7	ENSG00000007237
ABHD5	ENSG00000011198
CD79B	ENSG00000007312
STAP1	ENSG00000035720
FUT8	ENSG00000033170
ANK1	ENSG00000029534
IKZF2	ENSG00000030419
AP2S1	ENSG00000042753
ACPP	ENSG00000014257
ADAM28	ENSG00000042980
POLR2B	ENSG00000047315
HDAC9	ENSG00000048052
KCNH2	ENSG00000055118
TSPAN17	ENSG00000048140
PKN2	ENSG00000065243
MTMR1	ENSG00000063601
MTA3	ENSG00000057935
MXD1	ENSG00000059728
CUL1	ENSG00000055130
VAMP3	ENSG00000049245
FECH	ENSG00000066926
BCAT1	ENSG00000060982
FGFR3	ENSG00000068078
PRKCZ	ENSG00000067606
CHI3L2	ENSG00000064886
TMEM206	ENSG00000065600
MPPED2	ENSG00000066382
DOCK3	ENSG00000088538
TPD52	ENSG00000076554
ESR1	ENSG00000091831
ST6GALNAC2	ENSG00000070731
HOXA9	ENSG00000078399
TRIB2	ENSG00000071575
CLEC2D	ENSG00000069493
P2RX5	ENSG00000083454
CBX5	ENSG00000094916
TCL1A	ENSG00000100721
PDS5B	ENSG00000083642
TTC7A	ENSG00000068724
HAL	ENSG00000084110
DNMT3B	ENSG00000088305
MEF2C	ENSG00000081189
PITX1	ENSG00000069011
ADD2	ENSG00000075340
FOLH1	ENSG00000086205
CYBRD1	ENSG00000071967
RORA	ENSG00000069667
TFRC	ENSG00000072274
HMMR	ENSG00000072571
TGFB2	ENSG00000092969
ZNF264	ENSG00000083844
SEPHS1	ENSG00000086475
PHGDH	ENSG00000092621
PIR	ENSG00000087842
PCSK5	ENSG00000099139
SNX5	ENSG00000089006
JMJD4	ENSG00000081692
FBXW11	ENSG00000072803
TCF3	ENSG00000071564
YPEL1	ENSG00000100027
NUCB2	ENSG00000070081
CEACAM1	ENSG00000079385
GNPNAT1	ENSG00000100522
REXO2	ENSG00000076043
MCOLN1	ENSG00000090674
WASHC3	ENSG00000120860
SOCS2	ENSG00000120833
SLC11A2	ENSG00000110911
ACVR2B	ENSG00000114739
RAB34	ENSG00000109113
TBX2	ENSG00000121068
TBC1D8B	ENSG00000133138
TFDP2	ENSG00000114126
CDADC1	ENSG00000102543
DTWD1	ENSG00000104047
INHBA	ENSG00000122641
UBAC1	ENSG00000130560
LRRC4	ENSG00000128594
ZFAND5	ENSG00000107372
SEC14L4	ENSG00000133488
GCNT2	ENSG00000111846
RPP40	ENSG00000124787
TUBG1	ENSG00000131462
DYRK2	ENSG00000127334
RASD1	ENSG00000108551
STMN1	ENSG00000117632
QKI	ENSG00000112531
VEGFA	ENSG00000112715
IGLL1	ENSG00000128322
EPHA4	ENSG00000116106
KCNJ2	ENSG00000123700
ARMC8	ENSG00000114098
GNAI1	ENSG00000127955
DUSP1	ENSG00000120129
CD180	ENSG00000134061
GFPT2	ENSG00000131459
ZNF304	ENSG00000131845
TREM1	ENSG00000124731
SYTL4	ENSG00000102362
CCRL2	ENSG00000121797
CR2	ENSG00000117322
CRISP2	ENSG00000124490
ID3	ENSG00000117318
SPIN1	ENSG00000106723
SDC1	ENSG00000115884
PAICS	ENSG00000128050
MINPP1	ENSG00000107789
RNGTT	ENSG00000111880
APOC1	ENSG00000130208
UROD	ENSG00000126088
KAT2B	ENSG00000114166
VPREB3	ENSG00000128218
CD86	ENSG00000114013
SIRPD	ENSG00000125900
LIN7A	ENSG00000111052
BTBD3	ENSG00000132640
BEX1	ENSG00000133169
GDAP1	ENSG00000104381
BCL11A	ENSG00000119866
LSM5	ENSG00000106355
CD33	ENSG00000105383
ELL3	ENSG00000128886
TENT5A	ENSG00000112773
PFKFB2	ENSG00000123836
CRISPLD2	ENSG00000103196
RPL5	ENSG00000122406
EFEMP1	ENSG00000115380
SH3BP5	ENSG00000131370
DHRS12	ENSG00000102796
BCL7A	ENSG00000110987
CLEC4A	ENSG00000111729
