gene_name	gene_id
CYP26B1	ENSG00000003137
MTMR7	ENSG00000003987
FGR	ENSG00000000938
PON1	ENSG00000005421
PDK4	ENSG00000004799
PNPLA4	ENSG00000006757
ARSD	ENSG00000006756
GDE1	ENSG00000006007
ALDH3B1	ENSG00000006534
FYN	ENSG00000010810
ABHD5	ENSG00000011198
PAFAH1B1	ENSG00000007168
LYPLA2	ENSG00000011009
MLXIPL	ENSG00000009950
MGST1	ENSG00000008394
NR1H3	ENSG00000025434
PIK3C2A	ENSG00000011405
ALOX5	ENSG00000012779
OSBPL5	ENSG00000021762
PLAUR	ENSG00000011422
ELOVL5	ENSG00000012660
CD74	ENSG00000019582
SPHK2	ENSG00000063176
ST3GAL6	ENSG00000064225
ARSF	ENSG00000062096
PNPLA6	ENSG00000032444
MSMO1	ENSG00000052802
INPP4A	ENSG00000040933
PPP2R5A	ENSG00000066027
RETSAT	ENSG00000042445
CTSA	ENSG00000064601
MTMR1	ENSG00000063601
DGKG	ENSG00000058866
ERBB3	ENSG00000065361
ELOVL1	ENSG00000066322
KITLG	ENSG00000049130
DGKA	ENSG00000065357
PLPP1	ENSG00000067113
IP6K2	ENSG00000068745
ALDH3A2	ENSG00000072210
BAX	ENSG00000087088
GSTP1	ENSG00000084207
FGF22	ENSG00000070388
CSNK2A2	ENSG00000070770
ACSL4	ENSG00000068366
ACADVL	ENSG00000072778
PIGS	ENSG00000087111
ACHE	ENSG00000087085
MT3	ENSG00000087250
GPC4	ENSG00000076716
FGF20	ENSG00000078579
CETP	ENSG00000087237
FGFR3	ENSG00000068078
EPHA8	ENSG00000070886
RDH8	ENSG00000080511
IDI1	ENSG00000067064
MGLL	ENSG00000074416
INPP5A	ENSG00000068383
SLC27A5	ENSG00000083807
PDK3	ENSG00000067992
TNFRSF1A	ENSG00000067182
FGF4	ENSG00000075388
HDHD5	ENSG00000069998
PIK3C3	ENSG00000078142
ACSM2B	ENSG00000066813
ALG9	ENSG00000086848
FGFR1	ENSG00000077782
MGST2	ENSG00000085871
CEACAM1	ENSG00000079385
FDFT1	ENSG00000079459
CYP2W1	ENSG00000073067
ACER3	ENSG00000078124
DGKD	ENSG00000077044
CDC42	ENSG00000070831
PPP2R1A	ENSG00000105568
IMPAD1	ENSG00000104331
OPN1LW	ENSG00000102076
FGF8	ENSG00000107831
GCDH	ENSG00000105607
AKT2	ENSG00000105221
LTA4H	ENSG00000111144
CYP3A5	ENSG00000106258
PCYT1B	ENSG00000102230
APOC3	ENSG00000110245
DLD	ENSG00000091140
PITPNM3	ENSG00000091622
ALOX12	ENSG00000108839
SLC25A17	ENSG00000100372
ST8SIA4	ENSG00000113532
DECR1	ENSG00000104325
SIRT4	ENSG00000089163
ARSB	ENSG00000113273
MTMR3	ENSG00000100330
CYP26A1	ENSG00000095596
ARSA	ENSG00000100299
APOA5	ENSG00000110243
SIRT1	ENSG00000096717
CREM	ENSG00000095794
TRIB3	ENSG00000101255
SCD	ENSG00000099194
PRKAB1	ENSG00000111725
CYP2C18	ENSG00000108242
CDIPT	ENSG00000103502
BMX	ENSG00000102010
FBXW7	ENSG00000109670
ACOT7	ENSG00000097021
GHR	ENSG00000112964
PCK2	ENSG00000100889
CWH43	ENSG00000109182
PRKAG2	ENSG00000106617
CHKB	ENSG00000100288
FGF6	ENSG00000111241
ASAH1	ENSG00000104763
FA2H	ENSG00000103089
TAZ	ENSG00000102125
CHKA	ENSG00000110721
CDS2	ENSG00000101290
LPCAT3	ENSG00000111684
PLEKHA8	ENSG00000106086
ESR1	ENSG00000091831
PON3	ENSG00000105852
CSNK2A1	ENSG00000101266
PIP5K1B	ENSG00000107242
P2RX7	ENSG00000089041
GDPD3	ENSG00000102886
ERLIN1	ENSG00000107566
PPP2CA	ENSG00000113575
TECR	ENSG00000099797
CPT1A	ENSG00000110090
GAB1	ENSG00000109458
HMGCS1	ENSG00000112972
AMBRA1	ENSG00000110497
VAC14	ENSG00000103043
PLEKHA1	ENSG00000107679
PDGFB	ENSG00000100311
PNPLA5	ENSG00000100341
CERS4	ENSG00000090661
ALG13	ENSG00000101901
CHPT1	ENSG00000111666
APOA4	ENSG00000110244
MLYCD	ENSG00000103150
PTGES3	ENSG00000110958
ACSBG1	ENSG00000103740
DGKH	ENSG00000102780
PON2	ENSG00000105854
ADTRP	ENSG00000111863
PITPNM1	ENSG00000110697
COL4A3BP	ENSG00000113163
PTPMT1	ENSG00000110536
APOBEC1	ENSG00000111701
MAPK3	ENSG00000102882
EEF1A2	ENSG00000101210
OSBPL8	ENSG00000091039
MTMR4	ENSG00000108389
PTGS1	ENSG00000095303
CYP2D6	ENSG00000100197
PIGU	ENSG00000101464
SLC27A6	ENSG00000113396
QKI	ENSG00000112531
CERK	ENSG00000100422
HAO1	ENSG00000101323
HBEGF	ENSG00000113070
TYRP1	ENSG00000107165
SERINC1	ENSG00000111897
SBF1	ENSG00000100241
STS	ENSG00000101846
CRAT	ENSG00000095321
INPP4B	ENSG00000109452
MAPK14	ENSG00000112062
FGF9	ENSG00000102678
LGALS13	ENSG00000105198
PNPLA3	ENSG00000100344
HTR2B	ENSG00000135914
RAB14	ENSG00000119396
ALDH3B2	ENSG00000132746
APOA2	ENSG00000158874
DHDDS	ENSG00000117682
MCEE	ENSG00000124370
LRP8	ENSG00000157193
ARSG	ENSG00000141337
PDGFRA	ENSG00000134853
GDPD1	ENSG00000153982
C1QTNF2	ENSG00000145861
SDC3	ENSG00000162512
ECHS1	ENSG00000127884
ACOT2	ENSG00000119673
DEGS1	ENSG00000143753
CD86	ENSG00000114013
ADIPOR1	ENSG00000159346
PLEK	ENSG00000115956
ACLY	ENSG00000131473
AGTR1	ENSG00000144891
GPD1L	ENSG00000152642
C3	ENSG00000125730
GPAT3	ENSG00000138678
SMPD2	ENSG00000135587
EFR3A	ENSG00000132294
CD80	ENSG00000121594
PLA2G4D	ENSG00000159337
CCL21	ENSG00000137077
STAR	ENSG00000147465
DHRS4	ENSG00000157326
ALOX15	ENSG00000161905
SLC27A3	ENSG00000143554
LRP1	ENSG00000123384
ALG10	ENSG00000139133
ABCD3	ENSG00000117528
FGF1	ENSG00000113578
HSD17B12	ENSG00000149084
ETNK1	ENSG00000139163
ARSE	ENSG00000157399
CYP3A4	ENSG00000160868
PRKAA1	ENSG00000132356
PGAP2	ENSG00000148985
FAAH	ENSG00000117480
RAB5A	ENSG00000144566
DAGLA	ENSG00000134780
PRKAB2	ENSG00000131791
UGCG	ENSG00000148154
PLPP2	ENSG00000141934
ANXA1	ENSG00000135046
CNR1	ENSG00000118432
PPT1	ENSG00000131238
CBR1	ENSG00000159228
ANGPTL8	ENSG00000130173
RARRES3	ENSG00000133321
INPP5K	ENSG00000132376
ARF1	ENSG00000143761
AKR1C2	ENSG00000151632
AWAT2	ENSG00000147160
DBI	ENSG00000155368
APOE	ENSG00000130203
FGF19	ENSG00000162344
