gene_name	num_variants	cds_length	vars_per_kbp	gene_id
NMU	6	525	11.428571428571429	ENSG00000109255
MEST	3	453	6.622516556291391	ENSG00000106484
RILPL2	4	681	5.873715124816446	ENSG00000150977
RSC1A1	6	1095	5.47945205479452	ENSG00000215695
PKIG	2	393	5.089058524173028	ENSG00000168734
GLT1D1	5	1074	4.655493482309124	ENSG00000151948
ARHGAP25	10	2178	4.591368227731865	ENSG00000163219
FAS	4	969	4.12796697626419	ENSG00000026103
QSOX2	8	1965	4.071246819338422	ENSG00000165661
IDS	5	1230	4.065040650406504	ENSG00000010404
MRPL19	3	825	3.6363636363636367	ENSG00000115364
TSEN15	2	573	3.490401396160559	ENSG00000198860
MCM10	9	2637	3.4129692832764507	ENSG00000065328
BMP3	5	1467	3.4083162917518743	ENSG00000152785
ADAMTS3	10	3132	3.1928480204342273	ENSG00000156140
KIAA0040	1	321	3.115264797507788	ENSG00000235750
TMX4	3	963	3.115264797507788	ENSG00000125827
PPIF	2	660	3.0303030303030303	ENSG00000108179
MINDY1	2	681	2.936857562408223	ENSG00000143409
CD81	2	690	2.8985507246376816	ENSG00000110651
RNF135	4	1386	2.886002886002886	ENSG00000181481
LRRN3	6	2133	2.8129395218002813	ENSG00000173114
CRB1	10	3564	2.8058361391694726	ENSG00000134376
AFF3	10	3672	2.7233115468409586	ENSG00000144218
COL4A3	13	4812	2.701579384871155	ENSG00000169031
BARD1	6	2310	2.5974025974025974	ENSG00000138376
FNIP2	8	3183	2.5133521834747095	ENSG00000052795
KIF14	12	4797	2.5015634771732334	ENSG00000118193
OPN3	3	1209	2.4813895781637716	ENSG00000054277
REPS2	5	2031	2.461841457410143	ENSG00000169891
CISD2	1	408	2.450980392156863	ENSG00000145354
FANCE	4	1638	2.442002442002442	ENSG00000112039
VCAM1	3	1242	2.4154589371980677	ENSG00000162692
FUBP3	3	1251	2.3980815347721824	ENSG00000107164
MMAA	9	3786	2.3771790808240887	ENSG00000151611
DNASE1L3	2	843	2.372479240806643	ENSG00000163687
ATAD5	12	5097	2.3543260741612713	ENSG00000176208
CDHR3	7	3009	2.326354270521768	ENSG00000128536
ZDHHC23	8	3483	2.2968705139247776	ENSG00000184307
CPOX	3	1308	2.293577981651376	ENSG00000080819
CPPED1	2	894	2.237136465324385	ENSG00000103381
PDZK1IP1	2	894	2.237136465324385	ENSG00000162366
RIMS3	2	930	2.150537634408602	ENSG00000117016
CDCA2	5	2388	2.0938023450586267	ENSG00000184661
GPR18	2	993	2.014098690835851	ENSG00000125245
GPR157	4	2028	1.9723865877712032	ENSG00000180758
PSMD5	3	1527	1.9646365422396859	ENSG00000095261
NCF2	3	1533	1.9569471624266146	ENSG00000116701
B3GALT6	2	1041	1.921229586935639	ENSG00000176022
AGPAT5	2	1044	1.9157088122605364	ENSG00000155189
ADA	2	1080	1.8518518518518516	ENSG00000196839
NOV	2	1086	1.8416206261510129	ENSG00000136999
PLBD1	3	1662	1.8050541516245489	ENSG00000121316
MTMR2	3	1695	1.7699115044247786	ENSG00000087053
HTR1D	2	1134	1.7636684303350971	ENSG00000179546
SETBP1	8	4650	1.7204301075268815	ENSG00000152217
ACAN	9	5250	1.7142857142857142	ENSG00000157766
TGOLN2	13	7623	1.705365341728978	ENSG00000152291
TMPRSS15	5	3006	1.6633399866932803	ENSG00000154646
RRAS2	1	612	1.6339869281045751	ENSG00000133818
LYRM7	1	615	1.6260162601626016	ENSG00000186687
PAG1	2	1275	1.5686274509803924	ENSG00000076641
ADAMTS17	5	3219	1.5532774153463809	ENSG00000140470
IGF2	1	651	1.5360983102918586	ENSG00000167244
ZNF185	6	3933	1.5255530129672006	ENSG00000147394
FHDC1	5	3339	1.497454327643007	ENSG00000137460
AKAP12	12	8034	1.4936519790888723	ENSG00000131016
WDHD1	5	3366	1.4854426619132501	ENSG00000198554
PDE11A	4	2709	1.4765596160944998	ENSG00000128655
SENP6	3	2034	1.4749262536873158	ENSG00000112701
RYBP	1	684	1.461988304093567	ENSG00000163602
ADAM9	3	2079	1.4430014430014428	ENSG00000168615
APOLD1	1	702	1.4245014245014247	ENSG00000178878
LYPLAL1	1	702	1.4245014245014247	ENSG00000143353
PPEF1	3	2136	1.4044943820224718	ENSG00000086717
GAS2L3	3	2145	1.3986013986013985	ENSG00000139354
EPOR	2	1491	1.341381623071764	ENSG00000187266
BRCA2	13	9768	1.3308763308763307	ENSG00000139618
PECR	5	3780	1.3227513227513228	ENSG00000115425
POLE2	2	1515	1.3201320132013201	ENSG00000100479
WASF1	2	1536	1.3020833333333333	ENSG00000112290
BMP6	2	1539	1.2995451591942822	ENSG00000153162
POU2AF1	1	774	1.2919896640826873	ENSG00000110777
HPGD	1	780	1.282051282051282	ENSG00000164120
