gene_name	num_variants	cds_length	vars_per_kbp	gene_id
TSPO	3	495	6.0606060606060606	ENSG00000100300
FXN	3	609	4.926108374384237	ENSG00000165060
HPS6	7	2457	2.8490028490028494	ENSG00000166189
UROS	2	783	2.554278416347382	ENSG00000188690
CPOX	3	1308	2.293577981651376	ENSG00000080819
ADA	2	1080	1.8518518518518516	ENSG00000196839
TYR	3	1629	1.8416206261510129	ENSG00000077498
APRT	1	549	1.8214936247723132	ENSG00000198931
MTHFD1	4	2250	1.7777777777777777	ENSG00000100714
PPOX	5	2862	1.7470300489168413	ENSG00000143224
PMEL	2	1551	1.2894906511927788	ENSG00000185664
ADA2	4	3186	1.2554927809165097	ENSG00000093072
ASIP	1	798	1.2531328320802004	ENSG00000101440
OCA2	3	2520	1.1904761904761905	ENSG00000104044
ALAD	1	999	1.001001001001001	ENSG00000148218
IBA57	1	999	1.001001001001001	ENSG00000181873
USP13	2	2100	0.9523809523809523	ENSG00000058056
ADAMTS9	5	5826	0.8582217645039478	ENSG00000163638
IHH	1	1218	0.8210180623973727	ENSG00000163501
MREG	1	1245	0.8032128514056224	ENSG00000118242
SLC24A5	1	1266	0.7898894154818326	ENSG00000188467
EDNRB	1	1290	0.7751937984496123	ENSG00000136160
KIT	2	2859	0.6995452955578874	ENSG00000157404
GLI3	1	1491	0.670690811535882	ENSG00000106571
MITF	1	3291	0.3038590094196293	ENSG00000187098
NFE2L1	1	4194	0.23843586075345732	ENSG00000082641
MYO5A	2	11022	0.18145527127563055	ENSG00000197535
TRPC1	1	6957	0.14374011786689667	ENSG00000144935
AP3D1	1	14565	0.06865774116031582	ENSG00000065000
RAPGEF2	1	14826	0.06744907594765952	ENSG00000109756
